json_file,model_name,model_private,model_num_parameters,assin2_rte,assin2_sts,faquad_nli,hatebr_offensive
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/01-ai/Yi-9B-200K/results_2024-05-20T06-21-38.524751.json,01-ai/Yi-9B-200K,False,8829407232,0.8735592777805543,0.7486645258696737,0.7445188998494914,0.817858599988343
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/01-ai/Yi-Coder-9B/results_2024-10-02T03-06-38.881073.json,01-ai/Yi-Coder-9B,False,8829407232,0.8479141293428532,0.7388500902557162,0.5212030552344689,0.8155218925088192
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/01-ai/Yi-Coder-9B-Chat/results_2024-10-02T01-59-56.934513.json,01-ai/Yi-Coder-9B-Chat,False,8829407232,0.7994152126314071,0.7640954232319354,0.6541275915011303,0.8464002808680579
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/152334H/miqu-1-70b-sf/results_2024-05-23T11-20-45.843993.json,152334H/miqu-1-70b-sf,False,68976648192,0.9309631191550011,0.6972270341129023,0.7641750093536355,0.8382584367896485
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/22h/cabrita_7b_pt_850000/results_2024-02-16T13-19-48.657595.json,22h/cabrita_7b_pt_850000,False,6902255616,0.6996743545023234,0.007646758869425693,0.17721518987341772,0.0
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/22h/cabrita_7b_pt_850000/results_2024-03-08T02-07-35.059732.json,22h/cabrita_7b_pt_850000,False,6902255616,0.3333333333333333,0.1265472264440735,0.17721518987341772,0.5597546967409981
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/22h/open-cabrita3b/results_2024-02-16T12-41-51.764611.json,22h/open-cabrita3b,False,3554473600,0.38392470950636587,0.037061970342522815,0.4396551724137931,0.0
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/22h/open-cabrita3b/results_2024-02-28T16-38-27.766897.json,22h/open-cabrita3b,False,3554473600,0.4301327637723658,0.08919111846797594,0.4396551724137931,0.5046251022011318
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/AALF/gemma-2-27b-it-SimPO-37K-100steps/results_2024-10-02T01-48-29.895681.json,AALF/gemma-2-27b-it-SimPO-37K-100steps,False,27227128320,0.8957539543945432,0.7116783323256065,0.7043137254901961,0.8798753128354102
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/bigstral-12b-32k/results_2025-02-05T04-46-15.076283.json,abacusai/bigstral-12b-32k,False,12476420096,0.9072277560791967,0.7306032859296363,0.5912319890525638,0.8250337512054002
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/bigyi-15b/results_2025-02-05T14-06-54.358143.json,abacusai/bigyi-15b,False,15058243584,0.795611007144068,0.6803659917540784,0.5721293440819493,0.8753272914495813
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Liberated-Qwen1.5-14B/results_2024-06-22T02-39-55.266663.json,abacusai/Liberated-Qwen1.5-14B,False,14167290880,0.925217532107113,0.7986766597023826,0.446593203434771,0.8469486355683289
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Llama-3-Smaug-8B/results_2024-05-17T21-40-04.632269.json,abacusai/Llama-3-Smaug-8B,False,8030261248,0.8853889312602414,0.7031337316356315,0.5615099394315888,0.8806396855177343
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Slerp-CM-mist-dpo/results_2025-02-04T09-48-47.460109.json,abacusai/Slerp-CM-mist-dpo,False,7241732096,0.924004948303844,0.7855680177965118,0.7805128205128204,0.8437745393828681
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Smaug-34B-v0.1/results_2024-04-18T19-26-05.567588.json,abacusai/Smaug-34B-v0.1,False,34388917248,0.918703167734794,0.8085686681843944,0.8052119294207902,0.6963199072732542
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Smaug-72B-v0.1/results_2024-03-06T04-23-36.061378.json,abacusai/Smaug-72B-v0.1,False,72288575488,0.9295578224919228,0.8178709164364611,0.7746799251702434,0.8565051020408163
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abacusai/Smaug-Llama-3-70B-Instruct/results_2024-05-23T22-23-24.773490.json,abacusai/Smaug-Llama-3-70B-Instruct,False,70553706496,0.9362097477374545,0.7851681882574679,0.8001270220794261,0.9177933488181389
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/abhishek/autotrain-llama3-orpo-v2/results_2024-04-27T05-52-38.138924.json,abhishek/autotrain-llama3-orpo-v2,False,8030326784,0.3206194436478348,0.11473255710076143,0.0,0.329951690821256
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/adalbertojunior/Llama-3-8B-Dolphin-Portuguese/results_2024-04-27T22-18-08.276196.json,adalbertojunior/Llama-3-8B-Dolphin-Portuguese,False,8030261248,0.9284385454315845,0.7592009082968683,0.7966764418377321,0.8803890782643218
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/adalbertojunior/Llama-3-8B-Dolphin-Portuguese-v0.2/results_2024-05-01T00-46-52.845555.json,adalbertojunior/Llama-3-8B-Dolphin-Portuguese-v0.2,False,8030261248,0.9296707760641184,0.7599174826851254,0.8017064073924638,0.882563551736484
/mnt/hgfs/D/dev/llm_pt_leaderboard_results/adalbertojunior/Llama-3-8B-Dolphin-Portuguese-v0.3/results_2024-05-21T00-42-47.332922.json,adalbertojunior/Llama-3-8B-Dolphin-Portuguese-v0.3,False,8114147328,0.9305138130845616,0.7648432769959327,0.7677867540881239,0.8324636712326505
